,,,,,,,,
~@# File opened, Actual 03/06/2018 00:00:05 BST,  Log 03/06/2018 00:00:05 BST,,,,,,
~@#Come from file 20180602,,,,,,,,
732T03M503,HAYESAH,20180603054400,D,1,D,3,20180603054330,54512
732T03M503,HTRWAJN,20180603054500,D,1,D,  ,20180603054430,54512
731Y23M503,PADTON,20180603054700,T,-1,U,8,20180603054800,54547
731T26M503,ACTONW,20180603054600,D,0,D,  ,20180603054600,54559
731T25M503,HTRWAPT,20180603054500,D,2,D,1,20180603054300,54615
731T26M503,EALINGB,20180603054700,A,0, ,  ,0,54629
732T03M503,HTRWTJN,20180603054600,D,-1,D,  ,20180603054700,54637
731T26M503,EALINGB,20180603054600,D,0, ,  ,0,54653
731Y24M503,HTRWAPT,20180603054600,D,-1,U,2,20180603054730,54711
735T05M503,LDBRKJ,20180603054800,D,-4,U,R ,20180603055200,54748
732T04M503,ACTONW,20180603054800,D,0,D,  ,20180603054800,54758
732T04M503,EALINGB,20180603054900,A,0,D,3,20180603054900,54832
731T25M503,HTRWTM5,20180603055000,T,3,D,4,20180603054700,54837
731T26M503,STHALL,20180603054900,A,0, ,  ,20180603054900,54850
735T05M503,ROYAOJN,20180603054900,D,-5,U,  ,20180603055400,54918
731T26M503,STHALL,20180603054800,D,-1,D,3,20180603054900,54926
732T03M503,HTRWAPT,20180603055000,A,0,D,1,20180603055000,54929
731Y24M503,HTRWTJN,20180603055000,D,0,U,  ,20180603055030,54949
735T05M503,PADTON,20180603055100,T,-4,U,14,20180603055500,55008
731T26M503,HAYESAH,20180603055100,A,0, ,  ,0,55035
732T04M503,EALINGB,20180603055000,D,0,D,  ,20180603055000,55045
731T26M503,HAYESAH,20180603055000,D,0, ,  ,0,55104
731T26M503,HTRWAJN,20180603055100,D,1,D,  ,20180603055030,55104
731Y24M503,HTRWAJN,20180603055200,D,1,U,  ,20180603055130,55134
731T26M503,HTRWTJN,20180603055200,D,0,D,  ,20180603055230,55229
732T04M503,STHALL,20180603055300,A,0,D,3,20180603055330,55251
732T03M503,HTRWAPT,20180603055200,D,-1,D,1,20180603055300,55315
731Y24M503,STHALL,20180603055400,A,1, ,  ,20180603055300,55319
731Y24M503,STHALL,20180603055200,D,-1,U,4,20180603055300,55409
731Y24M503,WEALING,20180603055600,A,1, ,  ,20180603055500,55509
732T04M503,STHALL,20180603055400,D,0,D,3,20180603055430,55515
731T26M503,HTRWAPT,20180603055600,A,1,D,1,20180603055530,55536
732T03M503,HTRWTM4,20180603055700,T,0,D,2,20180603055700,55536
731Y24M503,WEALING,20180603055500,D,0,U,4,20180603055500,55536
731T27M503,PADTON,20180603055500,D,0,D,7,20180603055500,55542
731Y24M503,EALINGB,20180603055600,A,0, ,  ,0,55602
731Y24M503,EALINGB,20180603055500,D,0, ,  ,0,55612
731Y24M503,ACTONW,20180603055600,D,0,U,  ,20180603055600,55632
732T04M503,HAYESAH,20180603055700,A,0,D,3,20180603055730,55635
731T27M503,ROYAOJN,20180603055600,D,0,D,  ,20180603055600,55639
731T27M503,PRTOBJP,20180603055700,D,0,D,  ,20180603055700,55706
731T27M503,LDBRKJ,20180603055700,D,-1,D,  ,20180603055800,55742
731Y25M503,HTRWTM5,20180603055800,D,1,U,4,20180603055700,55828
732T04M503,HAYESAH,20180603055800,D,0,D,3,20180603055830,55835
732T04M503,HTRWAJN,20180603055800,D,-1,D,  ,20180603055930,55835
731T26M503,HTRWAPT,20180603055800,D,0,D,1,20180603055800,55840
731Y24M503,LDBRKJ,20180603055900,D,-1,U,R ,20180603060000,55916
732T04M503,HTRWTJN,20180603060000,D,-2,D,  ,20180603060200,55958
731Y24M503,PRTOBJP,20180603060000,D,-1,U,  ,20180603060100,60015
731T26M503,HTRWTM5,20180603060200,T,0,D,4,20180603060200,60042
731Y24M503,ROYAOJN,20180603060100,D,-1,U,  ,20180603060200,60042
731T27M503,ACTONW,20180603060100,D,0,D,  ,20180603060100,60051
731Y25M503,HTRWAPT,20180603060100,A,1,U,2,20180603060030,60051
731Y24M503,PADTON,20180603060200,T,-1,U,7,20180603060300,60118
732Y02M603,HTRWTM4,20180603060100,D,0,U,1,20180603060100,60130
732T04M503,HTRWAPT,20180603060300,A,-2,D,1,20180603060500,60244
731T27M503,STHALL,20180603060400,A,0, ,  ,20180603060400,60342
731Y25M503,HTRWAPT,20180603060300,D,1,U,2,20180603060230,60342
731T27M503,STHALL,20180603060300,D,-1,D,3,20180603060400,60420
732Y02M603,HTRWAPT,20180603060600,A,1,U,2,20180603060500,60458
731T27M503,HAYESAH,20180603060500,A,0, ,  ,0,60523
731T27M503,HAYESAH,20180603060500,D,0, ,  ,0,60553
731T27M503,HTRWAJN,20180603060600,D,0,D,  ,20180603060630,60553
731Y25M503,HTRWTJN,20180603060700,D,2,U,  ,20180603060530,60644
732T04M503,HTRWAPT,20180603060600,D,-1,D,1,20180603060700,60702
731T27M503,HTRWTJN,20180603060700,D,0,D,  ,20180603060730,60718
732Y02M603,HTRWAPT,20180603060700,D,0,U,2,20180603060700,60801
731Y25M503,HTRWAJN,20180603060800,D,2,U,  ,20180603060630,60808
732T04M503,HTRWTM4,20180603061000,T,-1,D,1,20180603061100,60921
731T27M503,HTRWAPT,20180603061100,A,1,D,1,20180603061030,61008
731Y25M503,STHALL,20180603061100,A,3, ,  ,20180603060800,61030
731T28M603,PADTON,20180603060900,D,-1,D,8,20180603061000,61036
732Y02M603,HTRWTJN,20180603061000,D,-1,U,  ,20180603061100,61038
731T28M603,ROYAOJN,20180603061100,D,0,D,  ,20180603061100,61130
731Y25M503,STHALL,20180603061000,D,2,U,4,20180603060800,61138
731T28M603,PRTOBJP,20180603061200,D,0,D,  ,20180603061200,61155
732Y02M603,HTRWAJN,20180603061200,D,0,U,  ,20180603061200,61222
732Y02M603,HAYESAH,20180603061300,A,0,U,4,20180603061300,61222
731T28M603,LDBRKJ,20180603061200,D,-1,D,  ,20180603061300,61227
732T06M603,PADTON,20180603061100,D,-1,D,14,20180603061200,61237
731Y26M603,HTRWTM5,20180603061200,D,0,U,4,20180603061200,61242
731Y25M503,WEALING,20180603061300,A,3, ,  ,20180603061000,61256
731T27M503,HTRWAPT,20180603061300,D,0,D,1,20180603061300,61326
731Y25M503,WEALING,20180603061200,D,2,U,4,20180603061000,61331
732T06M603,ROYAOJN,20180603061300,D,0,D,  ,20180603061300,61347
731Y25M503,EALINGB,20180603061400,A,0, ,  ,0,61406
